2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:31:08,420 - INFO - Y_seasonal mean abs: 0.8473, output mean abs: 0.4657
2026-05-01 21:31:08,443 - INFO - Y_seasonal mean abs: 0.8480, output mean abs: 0.4770
2026-05-01 21:31:08,468 - INFO - Y_seasonal mean abs: 0.8469, output mean abs: 0.4829
2026-05-01 21:31:08,493 - INFO - Y_seasonal mean abs: 0.8476, output mean abs: 0.4864
2026-05-01 21:31:08,516 - INFO - Y_seasonal mean abs: 0.8471, output mean abs: 0.4889
2026-05-01 21:31:08,539 - INFO - Y_seasonal mean abs: 0.8476, output mean abs: 0.4833
2026-05-01 21:31:08,560 - INFO - Y_seasonal mean abs: 0.8476, output mean abs: 0.4941
2026-05-01 21:31:08,581 - INFO - Y_seasonal mean abs: 0.8474, output mean abs: 0.5013
2026-05-01 21:31:08,602 - INFO - Y_seasonal mean abs: 0.8487, output mean abs: 0.4928
2026-05-01 21:31:08,619 - INFO - Y_seasonal mean abs: 0.8472, output mean abs: 0.4952
2026-05-01 21:31:08,642 - INFO - Y_seasonal mean abs: 0.8472, output mean abs: 0.4888
2026-05-01 21:31:08,664 - INFO - Y_seasonal mean abs: 0.8485, output mean abs: 0.4887
2026-05-01 21:31:08,686 - INFO - Y_seasonal mean abs: 0.8493, output mean abs: 0.4830
2026-05-01 21:31:08,709 - INFO - Y_seasonal mean abs: 0.8498, output mean abs: 0.4744
2026-05-01 21:31:08,731 - INFO - Y_seasonal mean abs: 0.8499, output mean abs: 0.4699
2026-05-01 21:31:08,753 - INFO - Y_seasonal mean abs: 0.8498, output mean abs: 0.4586
2026-05-01 21:31:08,775 - INFO - Y_seasonal mean abs: 0.8512, output mean abs: 0.4471
2026-05-01 21:31:08,796 - INFO - Y_seasonal mean abs: 0.8506, output mean abs: 0.4625
2026-05-01 21:31:08,817 - INFO - Y_seasonal mean abs: 0.8523, output mean abs: 0.4648
2026-05-01 21:31:08,837 - INFO - Y_seasonal mean abs: 0.8524, output mean abs: 0.4677
2026-05-01 21:31:08,861 - INFO - Y_seasonal mean abs: 0.8514, output mean abs: 0.4712
2026-05-01 21:31:08,883 - INFO - Y_seasonal mean abs: 0.8531, output mean abs: 0.4715
2026-05-01 21:31:08,906 - INFO - Y_seasonal mean abs: 0.8524, output mean abs: 0.4823
2026-05-01 21:31:08,928 - INFO - Y_seasonal mean abs: 0.8533, output mean abs: 0.4934
2026-05-01 21:31:08,949 - INFO - Y_seasonal mean abs: 0.8526, output mean abs: 0.4801
2026-05-01 21:31:08,972 - INFO - Y_seasonal mean abs: 0.8523, output mean abs: 0.4896
2026-05-01 21:31:08,995 - INFO - Y_seasonal mean abs: 0.8531, output mean abs: 0.4903
2026-05-01 21:31:09,017 - INFO - Y_seasonal mean abs: 0.8530, output mean abs: 0.4902
2026-05-01 21:31:09,041 - INFO - Y_seasonal mean abs: 0.8538, output mean abs: 0.4935
2026-05-01 21:31:09,061 - INFO - Y_seasonal mean abs: 0.8549, output mean abs: 0.4722
2026-05-01 21:31:09,080 - INFO - Y_seasonal mean abs: 0.8557, output mean abs: 0.4812
2026-05-01 21:31:09,103 - INFO - Y_seasonal mean abs: 0.8561, output mean abs: 0.4627
2026-05-01 21:31:09,124 - INFO - Y_seasonal mean abs: 0.8562, output mean abs: 0.4654
2026-05-01 21:31:09,142 - INFO - Y_seasonal mean abs: 0.8567, output mean abs: 0.4604
2026-05-01 21:31:09,164 - INFO - Y_seasonal mean abs: 0.8571, output mean abs: 0.4594
2026-05-01 21:31:09,184 - INFO - Y_seasonal mean abs: 0.8575, output mean abs: 0.4677
2026-05-01 21:31:09,205 - INFO - Y_seasonal mean abs: 0.8581, output mean abs: 0.4662
2026-05-01 21:31:09,226 - INFO - Y_seasonal mean abs: 0.8573, output mean abs: 0.4643
2026-05-01 21:31:09,246 - INFO - Y_seasonal mean abs: 0.8597, output mean abs: 0.4778
2026-05-01 21:31:09,267 - INFO - Y_seasonal mean abs: 0.8576, output mean abs: 0.4754
